"LANGUAGE","English","Language name (in native language)."
"LANGUAGE_GAME","Use game language","Default selection in language selection menu."
"NOTE_CLOSE","Close","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Don't show again","Notification button text - don't show this notification again."
"NO","No","Notification button text - don't perform this action."
"YES","Yes","Notification button text - perfom this action."
"PRESS_ANY_KEY","Press any key","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Mod conflict detected!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","This means that the mod is not able to operate and has shut down.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","The conflicting mods are:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","The mod was unable to properly apply its required Harmony patches.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Possible causes of this problem include:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","The required Harmony 2 mod dependency was not installed","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","An old and/or broken mod is preventing Harmony 2 from operating properly","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Another mod may be trying to apply a conflicting Harmony patch","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Helps you easily drawing parallel and stacked networks"
"FAILED","failed"
"MAJOR_GAME_UPDATE","Major game update detected. Mod is now inactive."
"CHOOSE_LANGUAGE","Choose language"
"BETA_WARNING_TEXT","!!! WARNING !!!
You're using a BETA software which can contain some bugs.
Unless you want to test the new features, please move to the stable version on Workshop."
"GROUP_KEYBINDINGS_NAME","Keybindings"
"GROUP_BUTTONS_NAME","Need help?"
"SELECT_KEYMAPPING_TOGGLEBUTTON_LABEL","Open/close mod's window"
"SELECT_KEYMAPPING_INCREASE_HORIZONTAL_OFFSET_LABEL","Increase horizontal offset"
"SELECT_KEYMAPPING_DECREASE_HORIZONTAL_OFFSET_LABEL","Decrease horizontal offset"
"SELECT_KEYMAPPING_INCREASE_VERTICAL_OFFSET_LABEL","Increase vertical offset"
"SELECT_KEYMAPPING_DECREASE_VERTICAL_OFFSET_LABEL","Decrease vertical offset"
"BUTTON_RESET_TOOL_WINDOW_POSITION_LABEL","Reset window's position"
"BUTTON_RESET_TOOL_BUTTON_POSITION_LABEL","Reset button's position"
"TOOLTIP_TOOL_TOGGLE_BUTTON","Parallel Road Tool"
"TOOLTIP_SAVE_BUTTON","Save preset"
"TOOLTIP_LOAD_BUTTON","Load preset"
"TOOLTIP_SNAPPING_TOGGLE_BUTTON","Snap to existing nodes"
"TOOLTIP_ADD_NETWORK_BUTTON","Add network"
"TOOLTIP_REMOVE_NETWORK_BUTTON","Remove network"
"TOOLTIP_INVERT_DIRECTION_TOGGLE_BUTTON","Invert direction"
"TOOLTIP_HORIZONTAL_OFFSET_TEXT","Horizontal distance from previous segment"
"TOOLTIP_VERTICAL_OFFSET_TEXT","Vertical distance from previous segment"
"LABEL_SAVE_PRESET_WINDOW_TITLE","Save preset"
"LABEL_LOAD_PRESET_WINDOW_TITLE","Load preset"